iteration,elapsed_ns
1421,1422516000
1422,1423516000
1423,1424516000
1424,1425516000
1425,1426516000
1426,1427516000
1427,1428516000
1428,1429516000
1429,1430516000
1430,1431516000
1431,1432517000
1432,1433517000
1433,1434520000
1434,1435517000
1435,1436517000
1436,1437517000
1437,1438517000
1438,1439517000
1439,1440517000
1440,1441517000
1441,1442521000
1442,1443517000
1443,1444518000
1444,1445518000
1445,1446518000
1446,1447518000
1447,1448518000
1448,1449518000
1449,1450518000
1450,1451518000
1451,1452518000
1452,1453518000
1453,1454518000
1454,1455522000
1455,1456522000
1456,1457519000
1457,1458519000
1458,1459519000
1459,1460519000
1460,1461519000
1461,1462519000
1462,1463519000
1463,1464519000
1464,1465519000
1465,1466519000
1466,1467519000
1467,1468519000
1468,1469520000
1469,1470520000
1470,1471520000
1471,1472520000
1472,1473520000
1473,1474520000
1474,1475520000
1475,1476520000
1476,1477520000
1477,1478521000
1478,1479521000
1479,1480521000
1480,1481521000
1481,1482521000
1482,1483521000
1483,1484521000
1484,1485522000
1485,1486521000
1486,1487521000
1487,1488522000
1488,1489522000
1489,1490522000
1490,1491522000
1491,1492522000
1492,1493522000
1493,1494522000
1494,1495522000
1495,1496522000
1496,1497523000
1497,1498523000
1498,1499523000
1499,1500523000
1500,1501523000
1501,1502526000
1502,1503523000
1503,1504523000
1504,1505523000
1505,1506523000
1506,1507523000
1507,1508524000
1508,1509524000
1509,1510524000
1510,1511524000
1511,1512524000
1512,1513524000
1513,1514524000
1514,1515524000
1515,1516524000
1516,1517524000
1517,1518525000
1518,1519525000
1519,1520525000
1520,1521525000
1521,1522525000
1522,1523525000
1523,1524525000
1524,1525525000
1525,1526525000
1526,1527525000
1527,1528525000
1528,1529525000
1529,1530525000
1530,1531529000
1531,1532526000
1532,1533526000
1533,1534526000
1534,1535526000
1535,1536526000
1536,1537526000
1537,1538526000
1538,1539526000
1539,1540526000
1540,1541526000
1541,1542527000
1542,1543527000
1543,1544527000
1544,1545527000
1545,1546527000
1546,1547527000
1547,1548527000
1548,1549527000
1549,1550527000
1550,1551527000
1551,1552528000
1552,1553528000
1553,1554528000
1554,1555528000
1555,1556528000
1556,1557528000
1557,1558528000
1558,1559528000
1559,1560528000
1560,1561529000
1561,1562529000
1562,1563529000
1563,1564529000
1564,1565532000
1565,1566529000
1566,1567532000
1567,1568529000
1568,1569529000
1569,1570529000
1570,1571529000
1571,1572529000
1572,1573530000
1573,1574530000
1574,1575530000
1575,1576530000
1576,1577530000
1577,1578530000
1578,1579533000
1579,1580530000
1580,1581530000
1581,1582530000
1582,1583530000
1583,1584530000
1584,1585531000
1585,1586531000
1586,1587531000
1587,1588531000
1588,1589531000
1589,1590531000
1590,1591534000
1591,1592531000
1592,1593531000
1593,1594532000
1594,1595532000
1595,1596532000
1596,1597532000
1597,1598532000
1598,1599532000
1599,1600532000
1600,1601532000
1601,1602532000
1602,1603532000
1603,1604532000
1604,1605532000
1605,1606533000
1606,1607533000
1607,1608533000
1608,1609533000
1609,1610533000
1610,1611533000
1611,1612533000
1612,1613533000
1613,1614533000
1614,1615533000
1615,1616533000
1616,1617533000
1617,1618534000
1618,1619534000
1619,1620534000
1620,1621534000
1621,1622534000
1622,1623534000
1623,1624537000
1624,1625534000
1625,1626534000
1626,1627534000
1627,1628534000
1628,1629535000
1629,1630535000
1630,1631535000
1631,1632535000
1632,1633535000
1633,1634535000
1634,1635535000
1635,1636535000
1636,1637535000
1637,1638535000
1638,1639535000
1639,1640535000
1640,1641536000
1641,1642536000
1642,1643536000
1643,1644536000
1644,1645536000
1645,1646536000
1646,1647536000
1647,1648536000
1648,1649536000
1649,1650536000
1650,1651537000
1651,1652537000
1652,1653537000
1653,1654537000
1654,1655537000
1655,1656537000
1656,1657537000
1657,1658537000
1658,1659537000
1659,1660537000
1660,1661537000
1661,1662541000
1662,1663538000
1663,1664538000
1664,1665538000
1665,1666538000
1666,1667538000
1667,1668538000
1668,1669538000
1669,1670538000
1670,1671538000
1671,1672538000
1672,1673538000
1673,1674538000
1674,1675539000
1675,1676539000
1676,1677539000
1677,1678539000
1678,1679539000
1679,1680539000
1680,1681539000
1681,1682539000
1682,1683539000
1683,1684543000
1684,1685539000
1685,1686540000
1686,1687540000
1687,1688540000
1688,1689540000
1689,1690540000
1690,1691540000
1691,1692540000
1692,1693540000
1693,1694540000
1694,1695540000
1695,1696541000
1696,1697541000
1697,1698541000
1698,1699541000
1699,1700541000
1700,1701541000
1701,1702541000
1702,1703541000
1703,1704541000
1704,1705541000
1705,1706541000
1706,1707542000
1707,1708542000
1708,1709542000
1709,1710542000
1710,1711542000
1711,1712542000
1712,1713542000
1713,1714542000
1714,1715542000
1715,1716542000
1716,1717542000
1717,1718542000
1718,1719542000
1719,1720543000
1720,1721543000
1721,1722543000
1722,1723543000
1723,1724543000
1724,1725543000
1725,1726543000
1726,1727543000
1727,1728543000
1728,1729544000
1729,1730544000
1730,1731544000
1731,1732544000
1732,1733544000
1733,1734544000
1734,1735544000
1735,1736544000
1736,1737544000
1737,1738544000
1738,1739544000
1739,1740545000
1740,1741545000
1741,1742545000
1742,1743545000
1743,1744545000
1744,1745545000
1745,1746545000
1746,1747545000
1747,1748545000
1748,1749545000
1749,1750545000
1750,1751545000
1751,1752546000
1752,1753546000
1753,1754546000
1754,1755546000
1755,1756546000
1756,1757546000
1757,1758546000
1758,1759546000
1759,1760547000
1760,1761547000
1761,1762547000
1762,1763547000
1763,1764547000
1764,1765547000
1765,1766547000
1766,1767547000
1767,1768547000
1768,1769547000
1769,1770547000
1770,1771548000
1771,1772548000
1772,1773548000
1773,1774548000
1774,1775548000
1775,1776548000
1776,1777548000
1777,1778548000
1778,1779548000
1779,1780548000
1780,1781549000
1781,1782548000
1782,1783552000
1783,1784549000
1784,1785549000
1785,1786549000
1786,1787549000
1787,1788549000
1788,1789549000
1789,1790549000
1790,1791549000
1791,1792549000
1792,1793550000
1793,1794550000
1794,1795550000
1795,1796550000
1796,1797550000
1797,1798550000
1798,1799550000
1799,1800550000
1800,1801550000
1801,1802550000
1802,1803550000
1803,1804550000
1804,1805550000
1805,1806550000
1806,1807551000
1807,1808551000
1808,1809551000
1809,1810551000
1810,1811551000
1811,1812551000
1812,1813551000
1813,1814551000
1814,1815551000
1815,1816551000
1816,1817551000
1817,1818551000
1818,1819552000
1819,1820552000
1820,1821552000
1821,1822552000
1822,1823552000
1823,1824552000
1824,1825556000
1825,1826552000
1826,1827552000
1827,1828552000
1828,1829553000
1829,1830553000
1830,1831553000
1831,1832553000
1832,1833553000
1833,1834553000
1834,1835553000
1835,1836553000
1836,1837553000
1837,1838557000
1838,1839553000
1839,1840553000
1840,1841553000
1841,1842553000
1842,1843554000
1843,1844554000
1844,1845554000
1845,1846554000
1846,1847554000
1847,1848554000
1848,1849554000
1849,1850554000
1850,1851554000
1851,1852554000
1852,1853555000
1853,1854555000
1854,1855555000
1855,1856555000
1856,1857555000
1857,1858555000
1858,1859555000
1859,1860555000
1860,1861555000
1861,1862555000
1862,1863556000
1863,1864556000
1864,1865556000
1865,1866556000
1866,1867556000
1867,1868556000
1868,1869556000
1869,1870556000
1870,1871556000
1871,1872556000
1872,1873556000
1873,1874557000
1874,1875557000
1875,1876557000
1876,1877557000
1877,1878557000
1878,1879557000
1879,1880557000
1880,1881557000
1881,1882558000
1882,1883558000
1883,1884558000
1884,1885558000
1885,1886558000
1886,1887558000
1887,1888558000
1888,1889558000
1889,1890558000
1890,1891558000
1891,1892558000
1892,1893558000
1893,1894559000
1894,1895559000
1895,1896559000
1896,1897559000
1897,1898559000
1898,1899559000
1899,1900559000
1900,1901559000
1901,1902563000
1902,1903559000
1903,1904563000
1904,1905560000
1905,1906563000
1906,1907560000
1907,1908560000
1908,1909560000
1909,1910560000
1910,1911560000
1911,1912560000
1912,1913560000
1913,1914560000
1914,1915561000
1915,1916561000
1916,1917561000
1917,1918561000
1918,1919561000
1919,1920561000
1920,1921561000
1921,1922561000
1922,1923561000
1923,1924561000
1924,1925561000
1925,1926561000
1926,1927562000
1927,1928561000
1928,1929562000
1929,1930562000
1930,1931562000
1931,1932562000
1932,1933562000
1933,1934562000
1934,1935562000
1935,1936562000
1936,1937562000
1937,1938562000
1938,1939563000
1939,1940563000
1940,1941563000
1941,1942563000
1942,1943563000
1943,1944563000
1944,1945563000
1945,1946563000
1946,1947563000
1947,1948563000
1948,1949564000
1949,1950564000
1950,1951564000
1951,1952564000
1952,1953564000
1953,1954564000
1954,1955564000
1955,1956564000
1956,1957564000
1957,1958564000
1958,1959564000
1959,1960565000
1960,1961565000
1961,1962565000
1962,1963565000
1963,1964565000
1964,1965565000
1965,1966565000
1966,1967565000
1967,1968567000
1968,1969567000
1969,1970568000
1970,1971568000
1971,1972568000
1972,1973568000
1973,1974568000
1974,1975568000
1975,1976568000
1976,1977568000
1977,1978568000
1978,1979568000
1979,1980568000
1980,1981568000
1981,1982568000
1982,1983569000
1983,1984569000
1984,1985569000
1985,1986569000
1986,1987569000
1987,1988569000
1988,1989569000
1989,1990569000
1990,1991570000
1991,1992570000
1992,1993570000
